from,to,label,weight
Kendal,Tiara,rival,8
Johnny,Gregory,acquaintance,32
Johnny,Hilaria,friend,4
Ciera,Morgan,rival,8
Benavidez,Hilaria,acquaintance,16
Irene,Renna,acquaintance,16
Cherryl,Scottie,rival,8
Shaun,Williams,acquaintance,4
Jonie,Gertha,friend,4
Vivien,Argentina,rival,32
Cummins,Renna,friend,8
Cuc,Gertha,friend,4
Antonio,Gertha,acquaintance,16
Ivory,Emil,rival,4
Lillian,Williams,friend,2
Brendon,Williams,rival,2
Cox,Renna,rival,8
Alba,Scottie,acquaintance,2
Cherryl,Theola,friend,32
Taryn,Johnny,rival,4
Marvin,Mariela,acquaintance,8
Brandon,Conchita,rival,4
Jacqualine,Renna,rival,32
Ciera,Mariela,rival,4
Elisabeth,Scottie,friend,16
Cher,Argentina,friend,32
Rodriguez,Gregory,acquaintance,8
Story,Johnny,friend,8
Vivien,Argentina,acquaintance,2
Cook,Cherryl,acquaintance,8
Howard,Michaela,rival,16
Faulk,Thanh,friend,2
Roy,Cherryl,acquaintance,4
Anderson,Cherryl,acquaintance,32
Gregory,Argentina,acquaintance,16
Wanda,Michaela,rival,4
Jane,Zina,rival,8
Jeffrey,Morgan,rival,32
Carter,Eulalia,friend,32
Rudolf,Eulalia,friend,16
Ann,Argentina,friend,32
Hurt,Argentina,rival,16
Krebs,Eulalia,friend,16
Fredericka,Gregory,acquaintance,16
Brent,Gregory,rival,16
Schaffer,Nell,friend,4
Jackson,Exie,rival,4
Hill,Exie,rival,2
King,Argentina,rival,8
Frida,Hilaria,acquaintance,32
Michael,Ciera,friend,4
Carney,Hilaria,rival,16
Johnny,Emil,acquaintance,2
Watson,Nell,acquaintance,16
Irene,Conchita,acquaintance,4
Coleman,Emil,friend,8
Ramirez,Zina,rival,16
Nell,Ivory,friend,8
Marvin,Morgan,rival,4
Hill,Ciera,acquaintance,2
Jonie,Conchita,friend,4
Noel,Eulalia,rival,2
Carter,Han,friend,8
James,Gregory,rival,2
Young,Tiara,friend,32
Miller,Nell,friend,2
Dott,Gwyn,friend,2
Jackson,Williams,friend,32
Easton,Zina,friend,8
Richardson,Exie,friend,32
Taylor,Gwyn,acquaintance,32
Pak,Thanh,friend,4
Donald,Shaun,acquaintance,4
Foster,Bree,rival,4
Jones,Argentina,acquaintance,16
Candida,Conchita,friend,2
Williams,Han,acquaintance,4
Abernathy,Tiara,friend,8
Nicholson,Tiara,friend,32
Roy,Renna,acquaintance,8
Oleta,Exie,rival,2
Amanda,Williams,rival,8
Thomas,Renna,friend,16
Clevenger,Scottie,friend,2
Bell,Theola,friend,32
Simpkins,Scottie,friend,16
Jack,Exie,acquaintance,32
Ross,Conchita,rival,2
Fairley,Alba,rival,8
John,Mariela,friend,8
Joette,Han,acquaintance,8
Aaron,Han,friend,4
Knudsen,Alba,friend,16
Morris,Argentina,rival,16
Conklin,Argentina,acquaintance,2
Tiara,Argentina,acquaintance,16
Collins,Morgan,acquaintance,32
Irina,Danae,rival,32
Joseph,Johnny,rival,8
Wood,Conchita,acquaintance,32
Fredericka,Ciera,rival,4
Gertha,Exie,rival,16
Stewart,Jamal,acquaintance,16
Lewis,Johnny,acquaintance,32
Root,Nell,rival,32
Mathilde,Tiara,friend,32
Tom,Exie,rival,2
Antonio,Morgan,acquaintance,16
Doris,Williams,acquaintance,32
Antonio,Zina,rival,16
Ciera,Bree,rival,8
Jones,Williams,rival,2
Rudolf,Michaela,friend,8
Renna,Ivory,rival,8
Joette,Jamal,rival,8
Chacon,Shaun,friend,8
Hyacinth,Morgan,acquaintance,4
Gertha,Hilaria,friend,2
Moore,Scottie,rival,2
Baker,Eulalia,friend,32
Gwyn,Mariela,rival,8
Anthony,Eulalia,friend,32
Perez,Thanh,acquaintance,16
Richard,Ivory,rival,4
Peter,Eulalia,rival,2
Eldridge,Gregory,friend,32
Shaun,Ciera,acquaintance,32
Sampson,Conchita,rival,8
Tina,Alba,rival,8
Rachel,Gertha,acquaintance,16
Sapp,Zina,rival,16
Heather,Hilaria,friend,8
Schiller,Argentina,acquaintance,32
Jack,Ciera,friend,2
Diaz,Gregory,acquaintance,4
Irina,Exie,friend,8
Roy,Shaun,friend,2
Mize,Tiara,rival,8
Hughes,Argentina,friend,4
Linda,Zina,rival,4
Sweat,Ivory,acquaintance,8
Wellman,Gregory,acquaintance,32
Russell,Ivory,friend,4
Cook,Emil,acquaintance,8
Bryant,Han,acquaintance,4
Gonzalez,Alba,rival,2
Johnson,Cherryl,rival,16
Jeffrey,Emil,friend,32
Corina,Scottie,friend,4
Diane,Shaun,rival,4
Mitchell,Renna,rival,2
Creech,Emil,acquaintance,8
Nicholson,Eulalia,rival,16
Gertha,Argentina,friend,4
Torri,Danae,friend,8
Oleta,Theola,acquaintance,2
Phillips,Tiara,friend,4
Brittani,Johnny,friend,2
Frey,Eulalia,rival,32
Zada,Hilaria,acquaintance,32
Oleta,Danae,friend,16
Dietrich,Ciera,friend,16
Butler,Zina,rival,4
Rocco,Renna,friend,2
Brennan,Jamal,rival,16
Bree,Jamal,friend,4
Monnie,Mariela,rival,16
